index	sentence1	sentence2	label
1103	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How many times is the game played per day?	5000 times	no
1104	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How many times is the game played per day?	1000 times	no
1105	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How many times is the game played per day?	every 10 months	no
1106	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How many times is the game played per day?	5 times per year	no
1107	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How many times is the game played per day?	3000 times	no
1108	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How many times is the game played per day?	500 times	no
1109	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. After playing the game, what do they do?	eat dinner	yes
1110	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How long does the game last?	2 minutes	no
1111	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How long does the game last?	five months	no
1112	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How long does the game last?	four years	no
1113	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How long does the game last?	10 seconds	no
1114	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How long does the game last?	five years	no
1115	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How long does the game last?	we face the tough answers	no
1116	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How long does the game last?	30 minutes	yes
1117	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How long does the game last?	1 hour	yes
1118	Usually when they play the game, Billy answers the telephone in a loud voice, and Sally answers the telephone in a quiet voice. How long does the game last?	1 second	no
1119	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How many times a day did Mary pick blueberries?	once	yes
1120	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How many times a day did Mary pick blueberries?	25 times	no
1121	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How many times a day did Mary pick blueberries?	five times	no
1122	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How many times a day did Mary pick blueberries?	just once	yes
1123	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How many times a day did Mary pick blueberries?	15 times	no
1124	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How many times a day did Mary pick blueberries?	5 times	no
1125	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How many times a day did Mary pick blueberries?	she said this was not a do-or-die deal	no
1126	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How many times a day did Mary pick blueberries?	six	no
1127	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	approximately 10 am	yes
1128	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	at 11 a.m	yes
1129	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	about 12 am	no
1130	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	about 10 pm	no
1131	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	4:00 PM	yes
1132	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	4:00 AM	no
1133	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	about 1 am	no
1134	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	approximately 12 am	no
1135	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	1:00 AM	no
1136	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	around 10 am	yes
1137	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	at 1 a.m	no
1138	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	at 12 a.m	no
1139	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	12:00 PM	yes
1140	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	2:00 AM	no
1141	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	about 10 am	yes
1142	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	around 12 am	no
1143	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. At what time of day was Mary picking blueberries?	2:00 PM	yes
1144	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. What did Mary do after turning around?	mary stops picking	yes
1145	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. What did Mary do after turning around?	she looked for max	yes
1146	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. What did Mary do after turning around?	she searched somewhere else for max	yes
1147	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. What did Mary do after turning around?	she looked somewhere else for max	yes
1148	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. What did Mary do after turning around?	she searched for max	yes
1149	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. What did Mary do after turning around?	mary stopped picking	yes
1150	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How long did Mary spend picking blueberries?	10 seconds	no
1151	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How long did Mary spend picking blueberries?	about half an hour	yes
1152	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How long did Mary spend picking blueberries?	1 hours	yes
1153	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How long did Mary spend picking blueberries?	one minute	no
1154	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How long did Mary spend picking blueberries?	2 seconds	no
1155	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How long did Mary spend picking blueberries?	10 hours	no
1156	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How long did Mary spend picking blueberries?	one hour	yes
1157	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How long did Mary spend picking blueberries?	about two minutes	no
1158	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. How long did Mary spend picking blueberries?	about three minutes	no
1159	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. Was Mary still looking for Max the next day?	yes she found him that afternoon	no
1160	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. Was Mary still looking for Max the next day?	no she find him that afternoon	yes
1161	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. Was Mary still looking for Max the next day?	but she found him that afternoon	no
1162	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. Was Mary still looking for Max the next day?	she has no problem with that	no
1163	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. Was Mary still looking for Max the next day?	no she found him that morning	yes
1164	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. Was Mary still looking for Max the next day?	no	yes
1165	One day, as Mary was picking the blueberries, she turned around to find that Max was not there. Was Mary still looking for Max the next day?	she said this was not a do-or-die deal	no
1166	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. How many times a week does the average scientist read his theory?	a couple of times a hour	no
1167	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. How many times a week does the average scientist read his theory?	a couple of times a second	no
1168	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. How many times a week does the average scientist read his theory?	at least two weeks	no
1169	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. How many times a week does the average scientist read his theory?	a couple of weeks	no
1170	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. How many times a week does the average scientist read his theory?	the end of two and a half years	no
1171	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. How many times a week does the average scientist read his theory?	the past couple of weeks	no
1172	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. What happened after he talked about his theory?	he got promoted to head of the department	yes
1173	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. What happened after he talked about his theory?	he threw paper out	no
1174	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. What happened after he talked about his theory?	he threw them out	no
1175	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. What happened after he talked about his theory?	he was promoted to director of the department	yes
1176	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. What happened after he talked about his theory?	he was promoted to head of the department	yes
1177	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. What happened after he talked about his theory?	it got published	yes
1178	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. Has the theory always been know?	yes	no
1179	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. Has the theory always been know?	no	yes
1180	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. Has the theory always been know?	yes it ' s old	no
1181	At the end of the two weeks he came downstairs with two sheets of paper bearing his theory. Has the theory always been know?	well it ' s old	no
1182	The mindwipe will take its creation from my future self --but time too often does that without aid. How long did it take the mindwipe to take its creation?	a few centuries	no
1183	The mindwipe will take its creation from my future self --but time too often does that without aid. How long did it take the mindwipe to take its creation?	a few months	yes
1184	The mindwipe will take its creation from my future self --but time too often does that without aid. How long did it take the mindwipe to take its creation?	a century	no
1185	The mindwipe will take its creation from my future self --but time too often does that without aid. How long did it take the mindwipe to take its creation?	one minute	no
1186	The mindwipe will take its creation from my future self --but time too often does that without aid. How long did it take the mindwipe to take its creation?	two hours	no
1187	The mindwipe will take its creation from my future self --but time too often does that without aid. How long did it take the mindwipe to take its creation?	a few minutes	no
1188	The mindwipe will take its creation from my future self --but time too often does that without aid. How long did it take the mindwipe to take its creation?	an hour	no
1189	The mindwipe will take its creation from my future self --but time too often does that without aid. How long did it take the mindwipe to take its creation?	one century	no
1190	The mindwipe will take its creation from my future self --but time too often does that without aid. How long did it take the mindwipe to take its creation?	a minute	no
1191	The mindwipe will take its creation from my future self --but time too often does that without aid. How long did it take the mindwipe to take its creation?	two seconds	no
1192	The mindwipe will take its creation from my future self --but time too often does that without aid. What happens after the mindwipe takes its creation?	it takes over	yes
1193	The mindwipe will take its creation from my future self --but time too often does that without aid. What happens after the mindwipe takes its creation?	you will be less smart	no
1194	The mindwipe will take its creation from my future self --but time too often does that without aid. What happens after the mindwipe takes its creation?	not sure	no
1195	The mindwipe will take its creation from my future self --but time too often does that without aid. What happens after the mindwipe takes its creation?	that mean they will be without an agenda	no
1196	The mindwipe will take its creation from my future self --but time too often does that without aid. What happens after the mindwipe takes its creation?	future time	no
1197	The mindwipe will take its creation from my future self --but time too often does that without aid. What happens after the mindwipe takes its creation?	you will be smarter	no
1198	The mindwipe will take its creation from my future self --but time too often does that without aid. What happens after the mindwipe takes its creation?	the future looks anything but encouraging	no
1199	The mindwipe will take its creation from my future self --but time too often does that without aid. What happens after the mindwipe takes its creation?	certain things affecting my hometown	no
1200	The mindwipe will take its creation from my future self --but time too often does that without aid. Had the mindwipe taken its creation last week?	no	yes
1201	The mindwipe will take its creation from my future self --but time too often does that without aid. Had the mindwipe taken its creation last week?	the future looks anything but encouraging	no
1202	The mindwipe will take its creation from my future self --but time too often does that without aid. How often had the mindwipe taken over before?	45 times a day	no
1203	The mindwipe will take its creation from my future self --but time too often does that without aid. How often had the mindwipe taken over before?	once a century	no
1204	The mindwipe will take its creation from my future self --but time too often does that without aid. How often had the mindwipe taken over before?	5 times a century	no
1205	The mindwipe will take its creation from my future self --but time too often does that without aid. How often had the mindwipe taken over before?	5 times a minute	no
1206	He says that instead of everyone dying , they could keep at least one of their princes alive . Is he still keeping one prince alive?	yes he is	yes
1207	He says that instead of everyone dying , they could keep at least one of their princes alive . Is he still keeping one prince alive?	yes	yes
1208	He says that instead of everyone dying , they could keep at least one of their princes alive . How often do people die?	every week	no
1209	He says that instead of everyone dying , they could keep at least one of their princes alive . How often do people die?	twice	no
1210	He says that instead of everyone dying , they could keep at least one of their princes alive . How often do people die?	every year	no
1211	He says that instead of everyone dying , they could keep at least one of their princes alive . What time was the prince saved?	4:00 PM	yes
1212	He says that instead of everyone dying , they could keep at least one of their princes alive . What time was the prince saved?	two years from now	no
1213	He says that instead of everyone dying , they could keep at least one of their princes alive . What time was the prince saved?	2:00 PM	yes
1214	He says that instead of everyone dying , they could keep at least one of their princes alive . What time was the prince saved?	6:00 AM	yes
1215	He says that instead of everyone dying , they could keep at least one of their princes alive . What time was the prince saved?	12:00 PM	yes
1216	He says that instead of everyone dying , they could keep at least one of their princes alive . What time was the prince saved?	two seconds from now	no
1217	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. When did the bidding take place?	about 13 am	no
1218	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. When did the bidding take place?	11:00 PM	no
1219	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. When did the bidding take place?	about 1 am	no
1220	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. When did the bidding take place?	2:00 AM	no
1221	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. When did the bidding take place?	around 1 am	no
1222	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. What happened after the Soviet national shipping company found out they'd been excluded?	they looked upset	yes
1223	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. What happened after the Soviet national shipping company found out they'd been excluded?	they hated the swiss trader	yes
1224	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. What happened after the Soviet national shipping company found out they'd been excluded?	they won the bid	no
1225	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. What happened after the Soviet national shipping company found out they'd been excluded?	they were upset	yes
1226	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. What happened after the Soviet national shipping company found out they'd been excluded?	they won the bids	no
1227	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. What happened after the Soviet national shipping company found out they'd been excluded?	they resented the swiss trader	yes
1228	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. How long did the bidding last?	two days	yes
1229	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. How long did the bidding last?	all day	yes
1230	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. How long did the bidding last?	the bidding lasted three days	yes
1231	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. How long did the bidding last?	the bidding lasted two days	yes
1232	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. How long did the bidding last?	the bids lasted two days	yes
1233	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. Was the Soviet national shipping company later invited to submit a bid?	no it was always invited	no
1234	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. Was the Soviet national shipping company later invited to submit a bid?	no it was sometimes invited	no
1235	Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. Was the Soviet national shipping company later invited to submit a bid?	it invited many other companies to participate	no
1236	The bear looked up at the girl and it was almost as if he was smiling at her. When did the bear smile at the girl?	after it lowered its head	no
1237	The bear looked up at the girl and it was almost as if he was smiling at her. When did the bear smile at the girl?	when it walked away	no
1238	The bear looked up at the girl and it was almost as if he was smiling at her. When did the bear smile at the girl?	after it lifted its head	yes
1239	The bear looked up at the girl and it was almost as if he was smiling at her. When did the bear smile at the girl?	when it walks away	no
1240	The bear looked up at the girl and it was almost as if he was smiling at her. When did the bear smile at the girl?	2:00 PM	yes
1241	The bear looked up at the girl and it was almost as if he was smiling at her. When did the bear smile at the girl?	before it lifted its head	no
1242	The bear looked up at the girl and it was almost as if he was smiling at her. When did the bear smile at the girl?	after it raised its head	yes
1243	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	2 minutes	no
1244	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	5 minute	no
1245	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	one minute	no
1246	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	5 minutes	no
1247	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	4 minutes	no
1248	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	2.5 minutes	no
1249	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	5 seconds	yes
1250	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	20 minutes	no
1251	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	15 seconds	yes
1252	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	1 minute	no
1253	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	15 minutes	no
1254	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	2 centuries	no
1255	The bear looked up at the girl and it was almost as if he was smiling at her. How long did the bear smile at the girl?	6 minutes	no
1256	The bear looked up at the girl and it was almost as if he was smiling at her. Was the bear always smiling at the girl?	yes	no
1257	The bear looked up at the girl and it was almost as if he was smiling at her. Was the bear always smiling at the girl?	every month	no
1258	The bear looked up at the girl and it was almost as if he was smiling at her. Was the bear always smiling at the girl?	the nci study looked at blacks and whites	no
1259	The bear looked up at the girl and it was almost as if he was smiling at her. Was the bear always smiling at the girl?	every century	no
1260	The bear looked up at the girl and it was almost as if he was smiling at her. Was the bear always smiling at the girl?	no	yes
1261	A levee is a raised strip of sediments deposited close to the waters edge. How long did it take for the levee to raise sediments	a hour	no
1262	A levee is a raised strip of sediments deposited close to the waters edge. How long did it take for the levee to raise sediments	3 day	no
1263	A levee is a raised strip of sediments deposited close to the waters edge. How long did it take for the levee to raise sediments	0.33 minutes	no
1264	A levee is a raised strip of sediments deposited close to the waters edge. How long did it take for the levee to raise sediments	a second	no
1265	A levee is a raised strip of sediments deposited close to the waters edge. When was there a sediment deposit	banks need a competitive edge	no
1266	A levee is a raised strip of sediments deposited close to the waters edge. When was there a sediment deposit	one year after the levee was built	yes
1267	A levee is a raised strip of sediments deposited close to the waters edge. When was there a sediment deposit	one second after the levee was built	no
1268	A levee is a raised strip of sediments deposited close to the waters edge. When was there a sediment deposit	you argue there has been natural appreciation	no
1269	A levee is a raised strip of sediments deposited close to the waters edge. When was there a sediment deposit	last second	no
1270	A levee is a raised strip of sediments deposited close to the waters edge. Is the levee still raising sediments?	no	yes
1271	A levee is a raised strip of sediments deposited close to the waters edge. Is the levee still raising sediments?	no, it is not	yes
1272	A levee is a raised strip of sediments deposited close to the waters edge. How often are sediments raised?	every 10 minutes	no
1273	A levee is a raised strip of sediments deposited close to the waters edge. How often are sediments raised?	once a second	no
1274	A levee is a raised strip of sediments deposited close to the waters edge. How often are sediments raised?	every other century	no
1275	A levee is a raised strip of sediments deposited close to the waters edge. How often are sediments raised?	every other minute	no
1276	A levee is a raised strip of sediments deposited close to the waters edge. How often are sediments raised?	once each minute	no
1277	A levee is a raised strip of sediments deposited close to the waters edge. How often are sediments raised?	every 10 centuries	no
1278	A levee is a raised strip of sediments deposited close to the waters edge. How often are sediments raised?	once each century	no
1279	A levee is a raised strip of sediments deposited close to the waters edge. How often are sediments raised?	every 30 minutes	no
1280	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . How often are alien corpse's found?	once every century	yes
1281	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . How often are alien corpse's found?	once a day	no
1282	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . How often are alien corpse's found?	once each century	yes
1283	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . How often are alien corpse's found?	aliens corpse ' s are found every second	no
1284	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . How often are alien corpse's found?	once a century	yes
1285	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . How often are alien corpse's found?	once a weekend	no
1286	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . What happened after the corpse was found?	the person paid no notice to it	no
1287	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . What happened after the corpse was found?	the administration finds itself	no
1288	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . What happened after the corpse was found?	it was given to science	yes
1289	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . What happened after the corpse was found?	the person paid no attention to it	no
1290	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . What happened after the corpse was found?	the individual paid no attention to it	no
1291	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . What happened after the corpse was found?	it was discovered there	no
1292	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . What happened after the corpse was found?	an oil company finds a sideline	no
1293	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . What happened after the corpse was found?	the person looked over the aliens	no
1294	While Dr. Hughes finds an alien corpse with a fossilized diamond , Dr. Campbell finds hieroglyphics at the cost of the party except for Hughes and himself . What happened after the corpse was found?	the person looked for the alien	no
1295	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How many times a year did the Spanish visit Jamaica?	twice every year	yes
1296	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How many times a year did the Spanish visit Jamaica?	once each year	yes
1297	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How many times a year did the Spanish visit Jamaica?	once each hour	no
1298	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How many times a year did the Spanish visit Jamaica?	twice every hour	no
1299	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How many times a year did the Spanish visit Jamaica?	annually every year	yes
1300	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How many times a year did the Spanish visit Jamaica?	once every year	yes
1301	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. What happened after the Spanish found Jamaica?	they attacked the arawak	yes
1302	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. What happened after the Spanish found Jamaica?	they killed the arawak	yes
1303	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. What happened after the Spanish found Jamaica?	they destroyed the arawak	yes
1304	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. What happened after the Spanish found Jamaica?	they met the arawak	yes
1305	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. What happened after the Spanish found Jamaica?	they got off the ship	yes
1306	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. What happened after the Spanish found Jamaica?	they encountered the arawak	yes
1307	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How long did it take for the Spanish to reach Jamaica?	2 months	yes
1308	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How long did it take for the Spanish to reach Jamaica?	decades	no
1309	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How long did it take for the Spanish to reach Jamaica?	1 week	no
1310	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How long did it take for the Spanish to reach Jamaica?	2 weeks	no
1311	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How long did it take for the Spanish to reach Jamaica?	6 months	yes
1312	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How long did it take for the Spanish to reach Jamaica?	seconds	no
1313	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How long did it take for the Spanish to reach Jamaica?	6 years	no
1314	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How long did it take for the Spanish to reach Jamaica?	months	yes
1315	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How long did it take for the Spanish to reach Jamaica?	days	no
1316	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How long did it take for the Spanish to reach Jamaica?	1 second	no
1317	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. How long did it take for the Spanish to reach Jamaica?	centuries	no
1318	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. Did the Spanish always know about Jamaica?	no	yes
1319	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. Did the Spanish always know about Jamaica?	yes they always knew about the undiscovered island	no
1320	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. Did the Spanish always know about Jamaica?	none	no
1321	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. Did the Spanish always know about Jamaica?	yes they always known about the undiscovered island	no
1322	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. Did the Spanish always know about Jamaica?	yes they always know about the undiscovered island	no
1323	Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island. Did the Spanish always know about Jamaica?	yes they always knew about this undiscovered island	no
1324	Sometimes Joey gets a little dried out so Marsha's mom told her to soak him in water every few days. How long does Joey need to soak in water?	90 minutes	no
1325	Sometimes Joey gets a little dried out so Marsha's mom told her to soak him in water every few days. How long does Joey need to soak in water?	10-15 minutes	yes
1326	Sometimes Joey gets a little dried out so Marsha's mom told her to soak him in water every few days. How long does Joey need to soak in water?	7.5 seconds	no
1327	Sometimes Joey gets a little dried out so Marsha's mom told her to soak him in water every few days. How long does Joey need to soak in water?	10-15 days	no
