id,context,question,answer0,answer1,answer2,answer3,label
3KL228NDMX0KZOKXLNM7EHYAUVGKG6##3TVRFO09GNU9S0VZLZ4E6N79BTCLXR##A1VYRD3HO2WDUN##Blog_249234##q2_a1##3X878VYTIGWQQ9HIR9RGSRTCPNGF7G,"=3 Afterwards , I took him to a mexican restaurant my roommates had talked about , where we stuffed our faces of some of the tastiest mexican food I ' ve ever had ! To finish the night , Raku used his birthday money to buy Rock Band , and we played it with one of my roommates until 3 in the morning . It was such a wonderful day . The weather was right and everything just worked out .",What may happen to Raku before 3:00 a.m. ?,Raku played my roommate 's game .,Raku went out to eat .,None of the above choices .,Raku ate with my roommates .,1
3KL228NDMX0KZOKXLNM7EHYAUVGKG6##3TVRFO09GNU9S0VZLZ4E6N79BTCLXR##A1VYRD3HO2WDUN##Blog_249234##q2_a1##3NOEP8XAU6GWW1C3NPRJYKK4TMHXPV,"=3 Afterwards , I took him to a mexican restaurant my roommates had talked about , where we stuffed our faces of some of the tastiest mexican food I ' ve ever had ! To finish the night , Raku used his birthday money to buy Rock Band , and we played it with one of my roommates until 3 in the morning . It was such a wonderful day . The weather was right and everything just worked out .",What may happen to Raku before 3:00 a.m. ?,None of the above choices .,Raku ate with my roommates .,Raku got a video game .,Raku played my roommate 's game .,2
3D42WVSDH8TUB4ECUK5GD6P1ZEQFYP##3TVRFO09GLDUXBWS12SEEPJ048IXLB##ARB80JPV0HQ5O##Blog_850521##q1_a1##335HHSX8CD3BRPARTE6236RDYJ8DHH,"As a result of two years of hard service on awful roads , the tie - rod ends and front shocks needed replacing when I got the car back in ' 06 . Beyond that , it 's needed front rotors , pads all around , and a water pump . I ' m pretty good about oil changes every 3 - 4 K , and while the water pump was out I asked for a fresh serpentine belt .",What may happen after getting the car repaired ?,The car will run smoothly and there will be fewer problems .,The car will run on the road when its smooth and will crash if paved .,The car wo nt be able to run and I will end up stuck on the road .,None of the above choices .,0
362E9TQF2HOEZ4V21MPV93VPAOHIG2##37WLF8U1WQO6UQUEFF7NZCT1JH7K6L##A3L2XKXABNO0N5##Blog_850521##q1_a1##3K3IX1W4S6P56Z53SHN5MELYZAFAPH,"The car was in the air for an oil change , and I mentioned to the mechanic that the air suspension had been unusually good to me , having lasted nearly 16 years . Needless to say , when the car was lowered to the ground , one of the air bags failed . A quick phone call revealed that replacement bags from the dealer would cost many , many hundreds of dollars . All told , replacing them would have cost well over a grand .",What may have happened before the car was in the air for an oil change ?,The car was taken to the auto shop .,The car was taken to the auto store .,None of the above choices .,The car was taken to the air bag store .,0
3QXFBUZ4ZKEJ8VQ2V3E9S6J05EUUG3##34PGFRQONP99DL32OCKFWRS1X6OJW3##A19N39JUEWX1DL##Blog_848163##q2_a1##3CVBMEMMXDUA458OMZFGVC5P599H7A,"It was going through my head as he embraced me and I hated it . It was putrid water in my mouth . Sense , nothing makes sense . I pushed him off me . "" I have to get out of here Pa. "" I said .",What will happen if I stay ?,I will take me time moving to the next step,I will have a lot of dates,I will have problems coping,None of the above choices .,2
3QXFBUZ4ZKEJ8VQ2V3E9S6J05EUUG3##34PGFRQONP99DL32OCKFWRS1X6OJW3##A19N39JUEWX1DL##Blog_848163##q2_a1##39RRBHZ0AWFY6G9EAJO31XPXNHWZV9,"It was going through my head as he embraced me and I hated it . It was putrid water in my mouth . Sense , nothing makes sense . I pushed him off me . "" I have to get out of here Pa. "" I said .",What will happen if I stay ?,I will not be able to be happy,None of the above choices .,I will have a lot of dates,I will take me time moving to the next step,0
3P888QFVX58U24ZQMBJCFCJLLNCOQ3##3DL65MZB8GU7JWACDHLNFFWF32UECG##A3218IMDX9KLPJ##Blog_1342422##q2_a1##372AGES0I6JH8ESI0HV83FKJUBDXR9,"Since the invention of the telescope , three more planets have been discovered in our solar system . The science of astronomy is ever expanding . "" Be A Stargazer will provide you with an understanding of astronomy and the universe around us . From our closest neighbors , the moon , sun and planets to the distant reaches of the universe , the stars and constellations , Be A Stargazer is your guide .",What may happen before three of our solar system ’s planets are discovered ?,We explore the distant reaches of the universe .,Astronomy begans to be studied as a science .,None of the above choices .,The Be A Stargazer guide was written .,1
32K26U12DNMG9Q5BY3N6I7IM6RCDVM##336YQZE83WC51AU3V8AYMJ75GSU5M4##A3218IMDX9KLPJ##Blog_718696##q2_a1##33BFF6QPI3PA0C2QFMYQJY3WFV9W3T,"Oh yeah , I forgot . Audrey 's name is next on the list at the security company . She lives the second closest and her last name starts with a D. Alphabetically , she faces the same issues I do .",What may happen after I remember Audrey is next on the list ?,None of the above choices .,I giver her a call .,I skip over her name and pretend it is not there .,I ignore her and cross her name out .,1
32K26U12DNMG9Q5BY3N6I7IM6RCDVM##336YQZE83WC51AU3V8AYMJ75GSU5M4##A3218IMDX9KLPJ##Blog_718696##q2_a1##3TZDZ3Y0JUK3EDB3Z7AFHLGOJAB91P,"Oh yeah , I forgot . Audrey 's name is next on the list at the security company . She lives the second closest and her last name starts with a D. Alphabetically , she faces the same issues I do .",What may happen after I remember Audrey is next on the list ?,None of the above choices .,I ignore her and cross her name out .,I contact her at the security company .,I skip over her name and pretend it is not there .,2
3EFNPKWBMU2HSM15MF55C3USCS630C##3XXU1SWE8PAKZRYKLWQHOV4N7LIA0F##A3VVR8NR3ED04C##Blog_245648##q1_a1##3WKGUBL7S10F7E9VBMW7KSEMVHC4LQ,Last night I went to the gym right after work and then came home and had dinner with the family . So my sister finally got a bank account ( she 's just been hoarding money in her room her entire life since she has literally NO expenses ) and realized she had 4 grand just sitting around ! WTF .,What will the sister do after this revelation ?,She will clean her room .,She will go to the gym .,She will use the money .,She will have dinner .,2
3EFNPKWBMU2HSM15MF55C3USCS630C##3XXU1SWE8PAKZRYKLWQHOV4N7LIA0F##A3VVR8NR3ED04C##Blog_245648##q1_a2##3DWGDA5POHI1BKO628FB935LAV41VT,Last night I went to the gym right after work and then came home and had dinner with the family . So my sister finally got a bank account ( she 's just been hoarding money in her room her entire life since she has literally NO expenses ) and realized she had 4 grand just sitting around ! WTF .,What will the sister do after this revelation ?,She will go to the gym .,She will have dinner .,She will clean her room .,She will invest the money .,3
3D4BBDG7ZHUMSPXEEXMPF68LUVRC3K##3JMSRU9HQJSONGH5K14SD9WVIHQEVK##AS5X6GRDJKWG3##Blog_319032##q2_a1##39XCQ6V3K0IFKCAO2N9F01235HF65K,"So i made the usual , curry . and it was just as delicious as always.and a plus!i got to put more veggies in it this time ! it 's nice not to have just the meat and potatoes feeling .",What may happen after they eat this meal ?,They will feel their hunger is fulfilled .,They will be in a better mood .,None of the above choices .,They will save the rest for later .,0
3KI0JD2ZU1GFDRP06ICC6NSR2U367T##33TIN5LC058OWELTH1BQSUZE71K9YK##A22EDUBB602EJD##Blog_682308##q2_a1##391JB9X4ZY65X9HCCS82ZOUZZHYKMA,I now had 2 middle pair and a flush draw . The player in earlier position bet $ 50 into the $ 65 pot . I pushed all in .,What will probably happen after this dealing of cards ?,The players will sit down at the table and start to draw together .,None of the above choices .,He will draw more money from the pot .,The person will win collect all the money due to the strong cards he pulled .,3
3KI0JD2ZU1GFDRP06ICC6NSR2U367T##3Z4XG4ZF49PZI4C97DJA9KXULLGX8D##ARB80JPV0HQ5O##Blog_682308##q1_a1##3INZSNUD80OICJS8V2IAQPTPF9UD9R,I now had 2 middle pair and a flush draw . The player in earlier position bet $ 50 into the $ 65 pot . I pushed all in .,What may have happened after they pushed all in ?,They other players might have folded .,None of the above choices .,The other players got up and walked out .,The other player took their money and ran out .,0
3SNR5F7R92RGFQZBVRZ790ADYVKEIA##3WS1NTTKEZA00TGLCF09AYR51K0F0G##A2JY56TZCEPK3J##Blog_39380##q1_a1##3AXFSPQOYSCJA4IKSIGDVHYLGKRFJ2,"I blinked a few times and realized that I did n't seem to have hot yolk in my eyes and my vision was just cloudy for a few seconds . Some yolk did land on my elbow and gave me a very minor burn . But , other than REALLY needing a shower , I ' m unscathed . I am SO thankful God spared my eyes .",What may have happened after the yolk splattered ?,I could have been severely burned and scarred .,The cooking surface may have been too hot making it splatter .,We may have used a lid to contain the splatter .,It may have gotten into my eyes .,3
3KG2UQJ0ML2CKJZELWJZ0NJGWB3QNJ##3UXUOQ9OKHCYH2Y46VBQ3AEAK0A7A5##A2WPPQC8S3ICVZ##Blog_748834##q2_a1##38O9DZ0A641NLFR1K47H2UZRLK462P,"No regeneration needed except an occasional ride closed for maintenance . The people come of their own volition , spend lots of money , and go away happy . In my family 's case , we were ready to be done after one day .",What may be the reason why we were ready to be done after day one ?,We were not having as much fun as the other people .,None of the above choices .,There was too much regeneration needed .,The rides were closed for maintenance too often .,0
3L55D8AUFAVN8SU23IFF504Y3WLYCB##3B4YI393VAU9575JR1JSR3G3LEXSS7##A3H0TLQC53H5MB##Blog_1455148##q1_a1##3B0MCRZMBT8RNSAC1YH247Y1RM5PPU,"The family and Dad 's best friends were gathered around him , and so we did have the chance to tell him goodbye . A couple of weeks later , there was a memorial for him at his favorite place : the country club where he loved to hang out and play golf with his buddies . A lot of folks wanted to say a few things about Dad , and I was one of them . I originally wrote about 3 pages , but eventually edited it down to just a couple of short paragraphs because I knew others would also want a chance to speak .",What will happen afterward ?,Father will be buried .,Father will be put in a casket .,Father will be resurrected .,Father will be dressed,0
375VMB7D4LXQH9KIJU0NVGG0R4PDI4##3BV8HQ2ZZZGFD2KZNL6YXWEEQJW6A0##A3HII8DX9SINOU##Blog_977902##q2_a1##35O6H0UNLUUR87PVM6349579SF3J5U,"You focus on the hidden treasures of life ( the background ) and how that fits into the larger picture . You are also particularly drawn towards the colors around you . Because of the value you place on nature , you tend to find comfort in more subdued settings and find energy in solitude .",What may have if I am not nature oriented ?,I would like vivid colors,I would not find comfort therein,None of the above choices .,I would have a reclusive trait,1
3Q9SPIIRWJKVQ8244310E8TUSRKAWI##3TUI152ZZCLXY7RCMEF302ETDABQ1C##AEZ8HFKNK24Q3##Blog_949788##q1_a2##3AA88CN98RHKLF5XFT8DLH5E1KIKY4,"It occurred to me that he really does n't care about me , regardless of my namesake . I ca n't remember the last time he called me . Oh well .... he has his own life , I suppose , and it 's not like I have some big connection to him anyway . After all the time I spent trying to contact him , I realize ( once again ) that he really does nt care about me . In the last few years , I have developed a very dark view of human nature .",What may happen to me before I noticed he did n't care about me ?,I would have developed a very dark view of human nature .,I may still be hopeful that he would connect with me .,I really do n't care if he remembers me .,None of the above choices .,1
39WICJI5ATQZ0I8O6B6XQ4963DCZ35##3STRJBFXOXPCWO5QBSFGAMLF61PKTU##A2RB88RMXUR0TH##Blog_30625##q1_a2##37SOB9Z0SUBUPIQRB8ROANMGHGBL3F,"Find something that you are passionate about and pursue it . For the most part in my life , I have not done anything I was required to do by curriculum or work . I have decided to do more from hereon .",What might happen to the author if they continue their quest for passion ?,None of the above choices .,They may pursue an academic degree .,They may succeed at their passion .,They may put themselves into a rigorous training regimen .,2
30QQTY5GMKI0F2F120AFMT6752WU72##3IJXV6UZ1YH8AE2A70P9XR5KMN9IRS##A3VVR8NR3ED04C##Blog_1475689##q2_a1##3IYI9285WSYXD3Z3HIECVDPAQB0JCS,"It 's just a fucking dream . Yet as he thought it , he was not all that sure it was true . Whatever what happening in the recurring night - trip had to be unsettling or upsetting or something of the like to some degree , otherwise something so stupid would not be effecting him so strongly .",What will happen to the man after the nightmare ?,None of the above choices .,He will seek to relive the nightmare .,He will seek to celebrate the dream he just had .,He will seek to get back to sleep .,3
3DA79LNS59T3E6ZP0JHF4G8PHM3T35##3UJ1CZ6IZIN8Z578F56KYS6B32U5SZ##ARB80JPV0HQ5O##Blog_1475689##q1_a1##3LXX8KJXPW79GGJXLBWQ1J5OJK89OL,"The redhead could n't even laugh about it properly which put him in a sore mood . "" Damn it , calm down ! He apologized for bumping into you and did n't get a good look ! "" Even if he still probably would have made the same mistake considering your pretty little face , girlish figure , and that lovely dress you always insist on wearing .",What may happen if she does nt accept his apology ?,"They will have a good time together whenever they meet ,",They will have to watch back to the future on television .,They will have a hard time getting along in the future .,None of the above choices .,2
37OPIVELUU1DTI7F94F0D5J7C20AH8##3VAR3R6G1QZCOVYH6MWEQ76185KO8J##A4C8C2YWJCYVV##Blog_1475689##q1_a1##3VDI8GSXAFRLAYJPS0D4WE1B8UL8GY,""" Got a point there , "" he agreed ruefully . "" But what does Gojyo really think he can do ? S'far as I know you 're the best one at pickin ' through Sanzo 's head . """,What might happen after this conversation ?,They will have a conversation with Sanzo,They wo n't do anything,They will have someone else talk to Sanzo,None of the above choices .,0
37OPIVELUU1DTI7F94F0D5J7C20AH8##3VAR3R6G1QZCOVYH6MWEQ76185KO8J##A4C8C2YWJCYVV##Blog_1475689##q1_a2##3Z3R5YC0P3LYUIFIKEIH5PXMLS6FTV,""" Got a point there , "" he agreed ruefully . "" But what does Gojyo really think he can do ? S'far as I know you 're the best one at pickin ' through Sanzo 's head . """,What might happen after this conversation ?,None of the above choices .,They wo n't do anything,They will have someone else talk to Sanzo,They will have discussion with Sanzo,3
3Y7LTZE0YTKJZCL7LV2YDDZ6F9XZUF##3HHRAGRYX93C20HRBE2SQ31CTRJO9M##A22EDUBB602EJD##Blog_1475689##q2_a1##3LCXHSGDLT45942703TLD2G079JESV,"When he said it , Sanzo knew that that was right . Somehow , he was remembering something , something important , something vital . Hakkai blinked at him . "" What do you mean ? ""","What will happen after Sanzo asks "" What do you mean "" ?",Hakkai would continue to blink his eyes and try to get something out of them .,Hakkai would recall the event and tell him what he remembers .,Hakkai would laugh at what Sanzo says to him .,Hakkai will not understand how to explain the event to Sanzo .,1
3V7ICJJAZAEO0GOC0BVDERU9PTOB4Z##3ERET4BTVN7TC9WCDMAZJMK39LTK9G##A3L2XKXABNO0N5##Blog_1475689##q1_a1##3TZ0XG8CBUI6VOWHEU7U4XFO4IX89G,"Hakkai blinked and looked up from where he was kneeling on the floor of the small bedroom , digging through his pack in search of his toothbrush . Hakuryuu was already asleep on the pillow of the spare bed . "" It was just a simple room switch , Goku , "" Hakkai said with a smile . Goku huffed slightly .",What may have happened before the room switch ?,Goku wanted to switch beds .,Goku wanted to switch rooms .,Goku did not want to switch rooms .,Goku wanted to switch toothbrushes .,2
3IZPORCT1F75SZTWBF1M8V8HDAHHRP##345LHZDEDYQL03C8QRDRYWQFFZIU35##A3PPLDHC3CG0YN##Blog_890324##q1_a1##3I7KR83SNCR5KEXP7HGXM0CNSEF9KS,"Jared wanted to say yes , he wanted to hiss the word viciously , but when he tried , he thought of the reality . Jensen would never recover from this truth . It would hurt him so deeply Jared would never be able to reach far enough inside of him to fix it .",What may have happened after Jared thought things through ?,Jared said yes anyways .,Jared came clean with everything .,Jared thought better of it and said no .,Jared asked for forgiveness .,2
3JMNNNO3B3ILFU67BMKL0OY48YY2WA##37XITHEISZOWS0FHZN5NEMVYHAQRCD##A32W24TWSWXW##Blog_1204438##q1_a1##3TZ0XG8CBWYLPDVOYSJUWV3WXDI893,"I learned a bit about forges , and now I really want to try my hand at some simple blacksmithing . Great , just what I needed . Another hobby . At least I was n't able to squeeze in the stained glass classes .",What may be the reason I learn about these different things ?,I want to be an expert like I am in stained glass .,I am skilled in blacksmithing and want to move on .,None of the above choices .,I love discovering new skills and adding to my list of hobbies .,3
3JMNNNO3B3ILFU67BMKL0OY48YY2WA##37XITHEISZOWS0FHZN5NEMVYHAQRCD##A32W24TWSWXW##Blog_1204438##q2_a1##3T5ZXGO9DG2618DXOKUTVAQP6MSQZB,"I learned a bit about forges , and now I really want to try my hand at some simple blacksmithing . Great , just what I needed . Another hobby . At least I was n't able to squeeze in the stained glass classes .",What may I experience after learning more about forging ?,I will be able to combine stained glass with my new interest in forging .,I will start another hobby and become overwhelmed .,None of the above choices .,I will likely make a lot of money from my current knowledge of forging .,1
3HKIF5DF6YVLO32ZXSJIWAWMSHSG9I##336KAV9KYRQDWU0UWSWBI7R04HSY2A##A37IJGXG1VEBEK##Blog_691931##q1_a1##3GITHABAC0ZVS0XTJLTY45LDGWV2N5,"Mystery of the stunted tomato plants solved ! So you , on a whim , decide to pull everything out as gently as you can , remove all the weed cloth and replant your tomatoes , cucumbers , melons and a 6 foot tall mammoth sunflower ( does this equate a momentary bout of insanity ? ? ) hoping that this will help them mature before summer is over ... .",What will happen after the summer is over ?,I will take a nap .,I will pick the tomatoes .,I will move away .,I will have a new job .,1
3O4VWC1GEYKOUS2R8NFBU89OD6Q3J9##3OB0CAO74K4W692JZABIX9LB2OLHYS##ATR6RB1RULOC0##Blog_1431938##q1_a1##32PT7WK7DOTBR62ZYRT0RAEC9ZF3DA,"Get the Skinny on the Hotties Who Just Got Added to the World 's Hugest Celebrity Nudity Warehouse : Mr. Skin Premium Mr. Skin Premium members enjoy immediate access to THOUSANDS OF BIOS AND REVIEWS of more than 15,700 stars , 27,600 movies and TV shows , and 197,000 pics and clips .",What would someone need to do before gaining access to these reviews ?,start a weight loss regimen,enter their credit card number,sign up for a free account,drive to the warehouse,1
3O4VWC1GEYKOUS2R8NFBU89OD6Q3J9##3OB0CAO74K4W692JZABIX9LB2OLHYS##ATR6RB1RULOC0##Blog_1431938##q1_a2##3M0556243UYFTU957G85OOF3QTMFND,"Get the Skinny on the Hotties Who Just Got Added to the World 's Hugest Celebrity Nudity Warehouse : Mr. Skin Premium Mr. Skin Premium members enjoy immediate access to THOUSANDS OF BIOS AND REVIEWS of more than 15,700 stars , 27,600 movies and TV shows , and 197,000 pics and clips .",What would someone need to do before gaining access to these reviews ?,sign up for a free account,start a weight loss regimen,drive to the warehouse,pay to activate an account,3
38VTL6WC4CRH3WKU8647JSMW4QR5Y0##3FFJ6VRIL43Z59HIXKIU5TS6OT5I0D##A3PPLDHC3CG0YN##Blog_1332922##q1_a1##3HXCEECSQO7FAA4JFUBN8WTR51AYZZ,"Today , Blaine came to school and gave me a Nintendo DS and a charger for no reason other than being Black on a Wednesday . I do n't think I ' ve ever been more shocked . Not even when he told me that he thought I was cute when I still had my sideburns .",What may be the reason he was given a gift for no reason ?,They felt bad for them because of their disability .,The other guy has feelings for him .,They were giving things away for charity .,None of the above choices .,1
3IYI9285WSYXD3Z3HIECVDPAPXPCJH##3HWRJOOET608VO01Q6ZN2MCOGVVSEP##ARB80JPV0HQ5O##Blog_524415##q1_a1##36JW4WBR06I8P9ONKK1SR6UYAVBFHF,"Then we went to Checkers . There I chose a buffalo chicken sandwich . Melanie chose a bacon , lettuce , tomato ( BLT ) sandwich . We each had fries and a diet soda .",What may happen after eating the sandwiches ?,We might order more food even when full .,We might go fight in the hot dry dessert .,We might ask the hostess to join us for dinner .,We might order something for dessert .,3
3PCPFX4U40OL22NQ3AOM0KMZ059QFX##3TEM0PF1Q6V3292PL95JMYOKL7YD0D##AKVDY8OXNMQED##Blog_524415##q2_a1##302OLP89DZ5MCAWZNC1Z2EMR0O7CA6,"On DVD we watched a Saturday Night Live special featuring the 1980s . On August 9 , Mom , Casey and I ate lunch at TGI Friday 's which opened up on 53rd Street in Davenport after Casey and I worked out . Then we all saw the movie Mamma Mia . Today Casey said his mom was going to see it .",What did we do after exercising ?,We went to lunch .,None of the above choices .,We watched SNL on tv .,We went to buy some new workout gear .,0
3IYI9285WSYXD3Z3HIECVDPAPXPCJH##3QIYRE09Y4FCVAEK6MNMW8JO4O8N1G##A1IMICF9ISISZN##Blog_524415##q1_a1##32PT7WK7DMDWXH3SETH0ZCQ3FGD3DR,"Then we went to Checkers . There I chose a buffalo chicken sandwich . Melanie chose a bacon , lettuce , tomato ( BLT ) sandwich . We each had fries and a diet soda .",What happened after eating the food ?,Melanie and I went to Walmart .,Melanie and I were full .,None of the above choices .,We ate dinner with each other .,1
3AA88CN98P15RQ6QVVWDTJH67OVYKQ##3STRJBFXOXPCWO5QBSFGAMLF3LFTKU##A22EDUBB602EJD##Blog_524415##q2_a1##3ATYLI1PRT0YMSW67NN3QDJRFSCJOO,We met at the main Davenport library . I checked out Anne Frank by Jacqueline Poole and Richard Simmons 's Blast Off 60s workout DVD . Then we went to Mister Money .,What is going to happen after they see Mister Money ?,They will will exercise to Richard Simmons DVD .,None of the above choices .,They will say goodbye to Mister Money and go home .,They will lay on the davenport reading books recommended by Mister Money .,0
3G9UA71JVVSR1M47Q161FRXWO0NJ7C##3Y4W8Q93L0IJVA35O6T87REAG5ZDVY##A1G84UV90TGHSR##Blog_524415##q1_a1##3NI0WFPPI9E1VGPGLJR3R8I4VJC60F,"Today I went to the "" Yamaka My Weekend "" festival . While I was there , Casey and I ran into somebody we knew from junior high . Her name is Sarah .",What may happen after they ran into Sarah ?,None of the above choices .,They left the festival,They took off their jackets,They talked about junior high school,3
3BDORL6HKKBEBRIGPNNLX4B10IBRCP##35H6S234SBY3C79B8S3HXNAJQ6C65K##A2JY56TZCEPK3J##Blog_812426##q1_a1##3XU80RHWH1UJ962A5UXQYBCB90B441,"I was pretty impressed by Rogers ( though he NEEDS to shave , like ... fo sho ) , and then they threw in the 2nd and 3rd string QBs , and it all went downhill from there . Poor little rookie QBs . But yes , while Rogers did better than I anticipated , I still miss Brett , .",wHAT MAY HAPPEN AFTER rOGERS PLAYED ?,He will impress all of the fans .,He will replace Brett .,He will be benched for the season .,He will get injured and out for the season .,0
3HEA4ZVWVDK47JB3D6NAGX0VGMB55Y##37WLF8U1WQO6UQUEFF7NZCT1NJO6KW##A1VR49TB3Q4BV8##Blog_1066898##q1_a1##31D0ZWOD0CDHC70QVUKFZB8YK0N0AS,"I am so lucky to have such a close friend that i love . I hope he knows that . I am sure he does . The dinner was very good , Anna definetly knows her way around the chichen .",What would I do if he leaves me ?,I would dance for joy .,I would be devastated .,I would laugh .,I would be glad to see him go .,1
37NXA7GVST4Z72T3BKLU1KQRF2PLVP##3FIJLY1B6V23OAK5T0FZPZSDBYEPFD##A1DBE2OL84TBKB##Blog_89888##q1_a1##3OCZWXS7ZQLX3XDVPRFHPKK0VKN5LQ,"As she was hanging on there , the safety rope snapped against Brenda 's eye and knocked out her contact lens . Now here she is , on a rock ledge , with hundreds of feet below her and hundreds of feet above her . Of course , she looked and looked and looked , hoping it had landed on the ledge , but it just was n't there .",What will happen if Brenda ca n't find her contact lens,None of the above choices .,She will put on her glasses so she can see,She will look for replacement lenses online,She will need to make her way slowly down to safety,3
34KYK9TV2R6721QNQCRVCUAF3V2SB6##3NG53N1RLWHU9VAILM9TF7BRIRDP8W##A2JY56TZCEPK3J##Blog_1370630##q1_a1##3EQPA8A374UALWAD9WYK6BQVZV9JZI,"Our parents got married before they had children and did n't invent stupid names for their kids like ' Kiora ' and ' Blade ' ..... This generation has produced some of the best risk - takers , problem solvers and inventors ever ! The past 70 years have been an explosion of innovation and new ideas .",What may happen after having kids ?,They become selfish,They become brainless,They become smart,They become immature,2
34KYK9TV2R6721QNQCRVCUAF3V2SB6##3NG53N1RLWHU9VAILM9TF7BRIRDP8W##A2JY56TZCEPK3J##Blog_1370630##q1_a2##35ZRNT9RUIWN1EUH42VGA622JUKO39,"Our parents got married before they had children and did n't invent stupid names for their kids like ' Kiora ' and ' Blade ' ..... This generation has produced some of the best risk - takers , problem solvers and inventors ever ! The past 70 years have been an explosion of innovation and new ideas .",What may happen after having kids ?,They become selfish,They become intellectual,They become immature,They become brainless,1
3ZRKL6Z1E813TIYY6YJ9D51CJ8USGN##31QNSG6A5SR53P6IP0FCFLK6IF5785##ARB80JPV0HQ5O##Blog_512840##q1_a1##3EKZL9T8Y8K1MX4DTIBRJ09VDJWHCL,It 's the way forward . Oscar has fought me all day long . He cried because I refused to let him spend his day watching Wallace and Gromit .,What may happen after crying ?,None of the above choices .,He will go to bed without food and water .,He will go online and watch Wallace .,He will learn how to properly watch TV .,0
32FESTC2NJ4LL894DFUQUDMT0UUCUV##39OWYR0EPN6CSDBD4KNIUO9YLT9FYW##AEZ8HFKNK24Q3##Blog_1215031##q1_a1##3JU8CV4BRNQ92SYBMY4NF7TBHV9PO5,"Yesterday ( Sept. 1 ) was my first day of classes . I had Korean Coversation at 1 pm ( 1300 ) , immediately followed by Korean Reading and Writing at 2 pm ( 1400 ) . Since it was the first day we did n't do much besides the usual introductions , ( giving our names , home colleges , major , reasons for being in Korea ) and then we were told what book to purchase and that was about it .",What may happen if I had n't gone to my Korean class ?,I will not be given my first Korean writing exercise in class .,I will not be able to introduce myself in class .,I will not be reading a book in Korean on my first day of class .,None of the above choices .,1
32FESTC2NJ4LL894DFUQUDMT0UUCUV##39OWYR0EPN6CSDBD4KNIUO9YLT9FYW##AEZ8HFKNK24Q3##Blog_1215031##q1_a2##307L9TDWJ06KDITCNL73NFQ5MPCN3C,"Yesterday ( Sept. 1 ) was my first day of classes . I had Korean Coversation at 1 pm ( 1300 ) , immediately followed by Korean Reading and Writing at 2 pm ( 1400 ) . Since it was the first day we did n't do much besides the usual introductions , ( giving our names , home colleges , major , reasons for being in Korea ) and then we were told what book to purchase and that was about it .",What may happen if I had n't gone to my Korean class ?,None of the above choices .,I will not be reading a book in Korean on my first day of class .,I will not be given my first Korean writing exercise in class .,I will not be learning the name of the textbook .,3
32FESTC2NJ4LL894DFUQUDMT0UUCUV##39OWYR0EPN6CSDBD4KNIUO9YLT9FYW##AEZ8HFKNK24Q3##Blog_1215031##q2_a1##31KSVEGZ3662JENSQCZM1W6CLFWRWB,"Yesterday ( Sept. 1 ) was my first day of classes . I had Korean Coversation at 1 pm ( 1300 ) , immediately followed by Korean Reading and Writing at 2 pm ( 1400 ) . Since it was the first day we did n't do much besides the usual introductions , ( giving our names , home colleges , major , reasons for being in Korea ) and then we were told what book to purchase and that was about it .",What may happen after I went to my Korean classes ?,I needed to immediately purchase ticket to go to Korea .,I got to tell others a little about myself .,None of the above choices .,I got to hear the usual introductions about my home colleges .,1
32FESTC2NJ4LL894DFUQUDMT0UUCUV##39OWYR0EPN6CSDBD4KNIUO9YLT9FYW##AEZ8HFKNK24Q3##Blog_1215031##q2_a1##372AGES0I6JH8ESI0HV83FKJUH2RX4,"Yesterday ( Sept. 1 ) was my first day of classes . I had Korean Coversation at 1 pm ( 1300 ) , immediately followed by Korean Reading and Writing at 2 pm ( 1400 ) . Since it was the first day we did n't do much besides the usual introductions , ( giving our names , home colleges , major , reasons for being in Korea ) and then we were told what book to purchase and that was about it .",What may happen after I went to my Korean classes ?,None of the above choices .,I got to hear the usual introductions about my home colleges .,I needed to immediately purchase ticket to go to Korea .,I needed to buy the required text for the class .,3
38Z7YZ2SB305CTPG4IU73HZRGBQIQX##3LOZAJ85YEBOWPAKRWA9ZTKR0TG2XO##A3VVR8NR3ED04C##Blog_228031##q1_a1##307L9TDWJYQ5JTU53NV3VH2XTLM3NI,"It 's an interesting knit . Hmmm , it 's also in a charcoal grey yarn , I 'll need sock blockers to show that off , & it 's not my birthday until after these are to be delivered . Shucks !",What will happen after the narrator 's birthday ?,The narrator will wear the socks .,The narrator will get drunk .,The narrator will avoid family .,The narrator will go celebrate .,0
38Z7YZ2SB305CTPG4IU73HZRGBQIQX##3LOZAJ85YEBOWPAKRWA9ZTKR0TG2XO##A3VVR8NR3ED04C##Blog_228031##q1_a2##37SOB9Z0SSVFVTRKRAFOIPY8OQM3LG,"It 's an interesting knit . Hmmm , it 's also in a charcoal grey yarn , I 'll need sock blockers to show that off , & it 's not my birthday until after these are to be delivered . Shucks !",What will happen after the narrator 's birthday ?,The narrator will get drunk .,The narrator will avoid family .,The narrator will go celebrate .,The narrator will wear their gift .,3
